,Unnamed: 0,Names,RA,DEC,Classification,Tile,X,Y,band_nb,bands_list
0,1,HSCJ115252+004733†,178.218,0.793,1.3900,356.182,tbd,tbd,1,u
1,7,HSCJ223406+012057,338.529,1.349,1.2400,677.183,tbd,tbd,1,u
2,8,HSCJ222801+012805,337.008,1.468,1.6000,674.183,tbd,tbd,1,u
3,13,HSCJ224221+001144,340.59,0.196,1.4100,681.180,tbd,tbd,1,u
4,14,HSCJ223359+015826,338.5,1.974,0.8500,677.184,tbd,tbd,1,u
5,17,HSCJ163257+424611,248.241,42.77,1.6400,363.266,tbd,tbd,1,r
6,26,HSCJ155517+415138,238.824,41.861,1.3100,355.264,tbd,tbd,1,r
7,31,HSCJ221608+005538,334.036,0.927,0.6500,668.182,tbd,tbd,1,u
8,32,HSCJ222022+000710,335.095,0.12,0.6200,670.180,tbd,tbd,1,u
9,34,HSCJ162757+435849,246.988,43.98,0.5200,355.268,tbd,tbd,2,ur
10,35,HSCJ161955+431024,244.982,43.173,0.7700,358.266,tbd,tbd,1,r
11,38,HSCJ115943+012846,179.931,1.479,0.5700,360.183,tbd,tbd,1,u
12,40,HSCJ115312+000206,178.304,0.035,0.5800,357.180,tbd,tbd,1,u
13,41,HSCJ115530+004141,178.879,0.695,0.6400,358.181,tbd,tbd,1,u
14,42,HSCJ221606+023139,334.026,2.528,0.5800,667.185,tbd,tbd,1,u
15,101,J222609+004142,336.53876,0.695037,1.00,673.181,tbd,tbd,1,u
16,133,J211243+000920,318.179744,0.155773,1.00,636.180,tbd,tbd,1,u
17,134,J224221+001144,340.589927,0.195764,0.97,681.180,tbd,tbd,1,u
18,138,J165710+315052,254.294217,31.847955,0.99,431.244,tbd,tbd,2,ur
19,139,J115830+312349,179.62672,31.397025,0.79,306.243,tbd,tbd,3,urg
20,140,J131730+564054,199.378529,56.68182,0.97,220.293,tbd,tbd,1,r
21,141,J143611+432921,219.046299,43.489219,0.98,318.267,tbd,tbd,2,ur
22,142,J090728+423301,136.86744,42.550401,0.99,202.265,tbd,tbd,3,urg
23,144,J103148+434256,157.952047,43.715754,0.99,229.267,tbd,tbd,3,urg
24,145,J174828+374539,267.120502,37.760876,0.99,421.256,tbd,tbd,2,ur
25,146,J163522+510828,248.845539,51.141378,0.99,313.282,tbd,tbd,2,ur
26,147,J143004+410557,217.517011,41.099238,0.98,328.262,tbd,tbd,2,ur
27,149,J021219+303310,33.082568,30.552995,0.99,057.241,tbd,tbd,3,urg
28,150,J235527+325244,358.865775,32.879142,0.99,602.246,tbd,tbd,3,urg
29,151,J153959+354954,234.999752,35.831739,0.98,380.252,tbd,tbd,2,ur
30,152,J124548+375435,191.451962,37.909935,0.99,302.256,tbd,tbd,2,ur
31,153,J095335+313238,148.399699,31.544166,0.99,253.243,tbd,tbd,3,urg
32,154,J094411+322038,146.049312,32.344091,0.99,246.245,tbd,tbd,3,urg
33,155,J165049+312328,252.706648,31.391165,0.99,431.243,tbd,tbd,2,ur
34,156,J081959+535624,124.999119,53.940081,0.7,147.288,tbd,tbd,2,rg
35,157,J090129+303355,135.371629,30.565434,0.87,233.241,tbd,tbd,3,urg
36,158,J155923+314712,239.847219,31.786779,0.87,407.244,tbd,tbd,2,ur
37,159,J155517+415138,238.823966,41.860723,0.99,355.264,tbd,tbd,1,r
38,160,J093542+303803,143.925535,30.63432,0.82,248.241,tbd,tbd,3,urg
39,161,J124223+312905,190.598116,31.484828,0.99,325.243,tbd,tbd,2,ur
40,162,J164940+304909,252.418703,30.819194,0.99,433.242,tbd,tbd,2,ur
41,164,J075346+341633,118.442572,34.276024,0.98,195.249,tbd,tbd,3,urg
42,165,J075523+344539,118.847955,34.761005,0.99,195.250,tbd,tbd,2,ur
43,166,J094819+373739,147.081482,37.627583,0.99,233.255,tbd,tbd,3,urg
44,167,J144037+591141,220.155419,59.194928,0.94,227.298,tbd,tbd,1,r
45,168,J110219+334224,165.579915,33.706789,0.96,276.247,tbd,tbd,2,ur
46,169,J091415+431855,138.564324,43.31547,0.99,201.267,tbd,tbd,3,urg
47,170,J112901+311925,172.254715,31.323845,0.95,294.243,tbd,tbd,2,ur
48,171,J143158+554329,217.995754,55.724873,0.64,247.291,tbd,tbd,1,r
49,172,J164753+511308,251.974251,51.219046,0.84,317.282,tbd,tbd,2,ur
50,173,J104949+362926,162.455302,36.490762,0.85,261.253,tbd,tbd,2,ur
51,174,J150036+551015,225.150662,55.170865,0.99,258.290,tbd,tbd,1,r
52,175,J115458+362005,178.741706,36.334761,0.99,287.253,tbd,tbd,2,ur
53,178,J094931+343819,147.380711,34.638801,0.88,243.249,tbd,tbd,3,urg
54,179,J113203+430718,173.014645,43.121823,0.92,253.266,tbd,tbd,3,urg
55,180,J152414+502559,231.059906,50.433218,0.72,294.281,tbd,tbd,1,r
56,181,J141559+502742,213.997269,50.461768,0.82,272.281,tbd,tbd,1,r
57,182,J092056+404009,140.233516,40.669275,0.81,213.261,tbd,tbd,3,urg
58,183,J154613+320732,236.55542,32.12574,0.76,401.244,tbd,tbd,2,ur
59,184,J163115+324034,247.813118,32.676273,0.84,418.245,tbd,tbd,2,ur
60,185,J080114+455838,120.309377,45.9774,0.96,167.272,tbd,tbd,3,urg
61,186,J071431+543145,108.63086,54.529382,0.96,126.289,tbd,tbd,1,r
62,187,J232205+311448,350.521187,31.246802,0.97,598.243,tbd,tbd,3,urg
63,189,J001119+324635,2.83263,32.77663,0.99,005.246,tbd,tbd,5,urizg
64,191,J021058+304423,32.744232,30.739869,0.98,056.241,tbd,tbd,3,urg
65,192,J005359+340231,13.498377,34.042151,0.75,022.248,tbd,tbd,5,urizg
66,193,J085335+352650,133.397432,35.447405,0.99,217.251,tbd,tbd,3,urg
67,194,J004211+362510,10.549333,36.419549,0.63,017.253,tbd,tbd,4,uriz
68,195,J121351+353334,183.466463,35.559484,0.84,299.251,tbd,tbd,2,ur
69,196,J172451+532101,261.216655,53.35028,0.83,311.287,tbd,tbd,2,ur
70,197,J164624+321352,251.600986,32.231342,0.75,427.244,tbd,tbd,2,ur
71,198,J074144+311642,115.434351,31.27839,0.79,197.243,tbd,tbd,3,urg
72,199,J165239+442135,253.165234,44.359909,0.92,361.269,tbd,tbd,2,ur
73,200,J015835+325940,29.649733,32.994532,0.95,050.246,tbd,tbd,3,urg
74,202,J233812+301327,354.552069,30.224249,0.73,614.240,tbd,tbd,3,urg
75,204,J132126+323845,200.360122,32.645929,0.98,338.245,tbd,tbd,2,ur
76,205,J171127+380843,257.863509,38.145351,0.86,406.256,tbd,tbd,2,ur
77,206,J135131+520718,207.883099,52.121882,0.99,256.284,tbd,tbd,1,r
78,207,J083044+322708,127.685572,32.452379,0.96,215.245,tbd,tbd,3,urg
79,208,J121959+340210,184.997596,34.036332,0.95,307.248,tbd,tbd,2,ur
80,210,J112035+325158,170.146207,32.866338,0.73,285.246,tbd,tbd,2,ur
81,211,J020255+300539,30.732029,30.094366,0.53,053.240,tbd,tbd,3,urg
82,212,J151250+510553,228.208395,51.098312,0.995,287.282,tbd,tbd,1,r
83,214,J104233+362936,160.640653,36.49354,0.98,258.253,tbd,tbd,2,ur
84,217,J154600+303600,236.503001,30.600112,0.86,408.241,tbd,tbd,2,ur
85,219,J152012+402157,230.051775,40.365852,0.93,350.261,tbd,tbd,2,ur
86,221,J091957+413848,139.990868,41.646885,0.99,210.263,tbd,tbd,3,urg
87,222,J130530+321143,196.376255,32.195307,0.82,333.244,tbd,tbd,2,ur
88,223,J073301+513431,113.256743,51.575494,0.98,141.283,tbd,tbd,2,rg
89,224,J164700+315322,251.753434,31.889623,0.59,427.244,tbd,tbd,2,ur
90,225,J175507+334318,268.781414,33.72189,0.56,448.247,tbd,tbd,2,ur
91,226,J232225+341458,350.605096,34.249556,0.94,581.248,tbd,tbd,3,urg
92,227,J112140+303748,170.420714,30.630111,0.95,294.241,tbd,tbd,2,ur
93,228,J111018+351716,167.576918,35.287779,0.88,273.251,tbd,tbd,2,ur
94,230,J102147+500808,155.447437,50.135595,0.99,200.280,tbd,tbd,2,rg
95,231,J130354+315655,195.97702,31.9487,0.69,332.244,tbd,tbd,2,ur
96,232,J021336+301804,33.403042,30.301241,0.9,058.241,tbd,tbd,3,urg
97,234,J173658+305817,264.245714,30.971567,0.95,453.242,tbd,tbd,2,ur
98,235,J082216+381337,125.570203,38.227187,0.69,198.256,tbd,tbd,3,urg
99,236,J165643+535717,254.180951,53.954788,0.55,299.288,tbd,tbd,2,ur
100,238,J234747+341149,356.947866,34.196982,0.79,592.248,tbd,tbd,3,urg
101,239,J150803+485728,227.013274,48.957797,0.55,298.278,tbd,tbd,1,r
102,240,J135800+492334,209.504125,49.392834,0.99,272.279,tbd,tbd,1,r
103,241,J090919+351503,137.330317,35.25094,0.99,225.250,tbd,tbd,3,urg
104,242,J130259+300953,195.745854,30.164815,0.93,339.240,tbd,tbd,2,ur
105,243,J120729+355838,181.87263,35.977381,0.83,294.252,tbd,tbd,2,ur
106,244,J095505+303230,148.771722,30.541826,0.87,256.241,tbd,tbd,3,urg
107,245,J071707+701827,109.279891,70.307512,0.78,073.321,tbd,tbd,1,r
108,246,J082055+533513,125.232609,53.587001,0.84,149.287,tbd,tbd,2,rg
109,247,J120329+311304,180.874396,31.218011,0.92,310.242,tbd,tbd,3,urg
110,248,J093114+300703,142.812224,30.117749,0.96,247.240,tbd,tbd,3,urg
111,249,J160308+333036,240.786202,33.510113,0.99,402.247,tbd,tbd,2,ur
112,250,J231403+335806,348.51442,33.968598,0.5,578.248,tbd,tbd,3,urg
113,251,J171725+461830,259.357806,46.308496,0.99,357.273,tbd,tbd,2,ur
114,252,J165911+371346,254.797098,37.22968,0.96,407.254,tbd,tbd,2,ur
115,253,J120659+323602,181.749009,32.600781,0.88,307.245,tbd,tbd,2,ur
116,254,J174744+391856,266.934787,39.315775,0.97,412.259,tbd,tbd,2,ur
