,name,ra,dec,grade/score
0,HSCJ095921+020638,149.841,2.111,0.6900
1,HSCJ115252+004733†,178.218,0.793,1.3900
2,HSCJ090507−001030,136.281,−0.175,1.2300
3,HSCJ090709+005648,136.790,0.947,1.3200
4,HSCJ144307−004056,220.780,−0.682,1.0300
5,HSCJ143153−013353,217.973,−1.565,2.7800
6,HSCJ083943+004740,129.929,0.795,1.4000
7,HSCJ223406+012057,338.529,1.349,1.2400
8,HSCJ222801+012805,337.008,1.468,1.6000
9,HSCJ023817−054555†,39.574,−5.765,0.9200
10,HSCJ023307−043838,38.279,−4.644,1.6500
11,HSCJ021200−040806,33.004,−4.135,1.5900
12,HSCJ144230−002353,220.629,−0.398,1.1700
13,HSCJ224221+001144,340.590,0.196,1.4100
14,HSCJ223359+015826,338.500,1.974,0.8500
15,HSCJ015756−021809,29.486,−2.303,1.0700
16,HSCJ022511−045433,36.296,−4.909,1.5300
17,HSCJ163257+424611,248.241,42.770,1.6400
18,HSCJ090613+032939,136.555,3.494,0.9400
19,HSCJ091506+041716,138.776,4.288,1.2300
20,HSCJ091608+034710,139.036,3.786,1.1500
21,HSCJ092101+035521,140.256,3.923,1.2100
22,HSCJ121052−011904,182.718,−1.318,1.1600
23,HSCJ140929−011410,212.374,−1.236,1.2400
24,HSCJ141300−012608,213.250,−1.436,1.1300
25,HSCJ145732−015917,224.386,−1.988,1.2000
26,HSCJ155517+415138,238.824,41.861,1.3100
27,HSCJ155826+432830,239.611,43.475,1.4100
28,HSCJ092455+021923,141.233,2.323,0.8400
29,HSCJ022059−045554,35.249,−4.932,1.0200
30,HSCJ022622−042522†,36.593,−4.423,0.8100
31,HSCJ221608+005538,334.036,0.927,0.6500
32,HSCJ222022+000710,335.095,0.120,0.6200
33,HSCJ222618−011940,336.576,−1.328,0.5700
34,HSCJ162757+435849,246.988,43.980,0.5200
35,HSCJ161955+431024,244.982,43.173,0.7700
36,HSCJ022040−052056,35.168,−5.349,0.9600
37,HSCJ090412+000420,136.051,0.072,0.5500
38,HSCJ115943+012846,179.931,1.479,0.5700
39,HSCJ120045−005740,180.189,−0.961,1.5700
40,HSCJ115312+000206,178.304,0.035,0.5800
41,HSCJ115530+004141,178.879,0.695,0.6400
42,HSCJ221606+023139,334.026,2.528,0.5800
43,HSCJ083906−000000,129.777,−0.000,1.8400
44,HSCJ090710+000320,136.794,0.056,0.6600
45,HSCJ144320−012538†,220.836,−1.427,1.0200
46,HSCJ091148+041852†,137.954,4.315,–
47,HSCJ141136−010216†,212.902,−1.038,–
0,J003727-413149,9.362803,-41.530542,1.00
1,J060653-585843,91.721422,-58.978786,1.00
2,J042218-213245,65.575901,-21.546084,1.00
3,J045901-204506,74.756099,-20.751891,1.00
4,J020304-233802,30.766707,-23.634045,1.00
5,J015216-583842,28.068067,-58.645086,1.00
6,J041809-545735,64.541168,-54.959729,1.00
7,J035649-240841,59.204383,-24.144756,1.00
8,J235519-613637,358.829823,-61.610291,1.00
9,J232128-463049,350.368208,-46.513706,1.00
10,J035242-382544,58.176701,-38.429152,1.00
11,J233459-640406,353.746649,-64.068597,1.00
12,J014546-354127,26.444934,-35.690931,1.00
13,J012042-514353,20.175973,-51.731411,1.00
14,J053804-473513,84.519228,-47.587152,1.00
15,J010127-334319,15.366041,-33.722010,1.00
16,J221912-434835,334.801660,-43.809752,1.00
17,J005834-520159,14.644654,-52.033230,1.00
18,J054735-600441,86.898069,-60.078194,1.00
19,J003507-252658,8.780570,-25.449594,1.00
20,J035418-160952,58.576136,-16.164500,1.00
21,J022956-311022,37.484396,-31.172971,1.00
22,J043454-182443,68.728380,-18.412014,1.00
23,J003104-440300,7.770341,-44.050039,1.00
24,J001542-463610,3.928313,-46.603047,1.00
25,J040642-231913,61.676960,-23.320485,1.00
26,J014326-085021,25.862225,-8.839247,1.00
27,J051603-220847,79.013218,-22.146421,1.00
28,J020107-155117,30.283189,-15.854734,1.00
29,J010659-443201,16.746389,-44.533731,0.98
30,J013522-423223,23.845122,-42.539867,0.98
31,J030920-380545,47.335761,-38.096044,0.97
32,J013822-284407,24.595671,-28.735547,0.95
33,J022310-224817,35.794564,-22.804826,0.95
34,J000451-010318,1.215541,-1.055067,0.94
35,J032216-523440,50.568366,-52.577897,0.94
